Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
RaidJAsAAAAJ,1,Romanovski–Jacobi spectral collocation schemes for distributed order differential problems,"MA Abdelkawy, AA Menaem, RT Matoog, AH Tedjani","Alexandria Engineering Journal 101, 98-107",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RaidJAsAAAAJ,2,Spectral solutions for fractional Klein–Gordon models of distributed order,"MA Abdelkawy, S Owyed, EM Soluma, RT Matoog, AH Tedjani","Alexandria Engineering Journal 98, 256-265",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RaidJAsAAAAJ,3,Dynamical structure and soliton solutions galore: investigating the range of forms in the perturbed nonlinear Schrödinger dynamical equation,"AH Tedjani, AR Seadawy, STR Rizvi, E Solouma","Optical and Quantum Electronics 56 (5), 764",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RaidJAsAAAAJ,4,AN EFFICIENT SCHEME TO SOLVE FOURTH ORDER NONLINEAR TRIPLY SINGULAR FUNCTIONAL DIFFERENTIAL EQUATION,"AH Tedjani, MM Abdelwahab, MA Abdelkawy","Advances in Differential Equations and Control Processes 31 (1), 27-42",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RaidJAsAAAAJ,5,Legendre spectral collocation method for solving nonlinear fractional Fredholm integro-differential equations with convergence analysis,"AH Tedjani, AZ Amin, AH Abdel-Aty, MA Abdelkawy, M Mahmoud","AIMS Mathematics 9 (4), 7973-8000",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RaidJAsAAAAJ,6,Construction of Hamiltonina and optical solitons along with bifurcation analysis for the perturbed Chen–Lee–Liu equation,"AH Tedjani, AR Seadawy, STR Rizvi, E Solouma","Optical and Quantum Electronics 55 (13), 1151",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15414293593667071742,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RaidJAsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RaidJAsAAAAJ:hqOjcs7Dif8C
RaidJAsAAAAJ,7,Construction of chirped propagation with Jacobi elliptic functions for the nonlinear Schrödinger equations with quadratic nonlinearity with inter-modal and spatio-temporal …,"AH Tedjani, AR Seadawy, STR Rizvi, E Solouma","The European Physical Journal Plus 138 (11), 973",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5602013705854395628,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RaidJAsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RaidJAsAAAAJ:MXK_kJrjxJIC
RaidJAsAAAAJ,8,Numerical study by imposing the finite difference method for unsteady Casson fluid flow with heat flux,AH Tedjani,"Journal of Applied Mathematics and Physics 11 (12), 3826-3839",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9737391586644290653,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RaidJAsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RaidJAsAAAAJ:_kc_bZDykSQC
RaidJAsAAAAJ,9,Entropy and Multi-Fractal Analysis in Complex Fractal Systems Using Graph Theory,"ZS Mufti, AH Tedjani, R Anjum, T Alsuraiheed","Axioms 12 (12), 1126",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14667768581602290582,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RaidJAsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RaidJAsAAAAJ:YOwf2qJgpHMC
RaidJAsAAAAJ,10,Spectral collocation technique for solving fractional generalized Cattaneo model,"MA Abdelkawy, EM Soluma, AH Tedjani, EI Hassan","International Journal of Modern Physics C 34 (12), 2350155",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RaidJAsAAAAJ,11,Numerical treatment via the spectral collocation method for Casson–Williamson nanofluid flow due to a stretching sheet with slip conditions,AH Tedjani,"Case Studies in Thermal Engineering 51, 103588",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RaidJAsAAAAJ,12,Détermination des forces musculaires du membre postérieur de l'animal au cours d'un cycle de locomotion.,"A Tedjani, Y Cherruault","Biosciences, No 4.1999",1999,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RaidJAsAAAAJ,13,Modeling a complex movement: a cat's walk,"A Tedjani, A Guillez, Y Cherruault","Cybernetica 33 (3), 229-254",1991,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RaidJAsAAAAJ,14,Study of a complex motion,"A Tedjani, Y Cherruault, A Guiellez","Cypernitica Namur, No: :3.1990.",1990,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
